thalos_id,fdc_id,name,fndds_code,dataset
100050,2340813,"Yogurt, Greek, nonfat milk, fruit",11434020,FNDDS
100051,2340814,"Yogurt, NS as to type of milk, flavors other than fruit",11434090,FNDDS
100052,2340815,"Yogurt, whole milk, flavors other than fruit",11434100,FNDDS
100053,2340816,"Yogurt, low fat milk, flavors other than fruit",11434200,FNDDS
100054,2340817,"Yogurt, nonfat milk, flavors other than fruit",11434300,FNDDS
100055,2340818,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",11435000,FNDDS
100056,2340819,"Yogurt, Greek, whole milk, flavors other than fruit",11435010,FNDDS
100057,2340820,"Yogurt, Greek, low fat milk, flavors other than fruit",11435020,FNDDS
100058,2340821,"Yogurt, Greek, nonfat milk, flavors other than fruit",11435030,FNDDS
100059,2340822,"Yogurt, Greek, with oats",11435100,FNDDS
100060,2340823,"Yogurt, liquid",11436000,FNDDS
100061,NA,Yogurt tube,11436100,FNDDS
100062,2340824,"Chipotle dip, yogurt based",11440010,FNDDS
100063,2340825,"Onion dip, yogurt based",11440030,FNDDS
100064,2340826,"Ranch dip, yogurt based",11440040,FNDDS
100065,2340827,"Spinach dip, yogurt based",11440050,FNDDS
100066,2340828,Tzatziki dip,11440060,FNDDS
100067,2340829,"Vegetable dip, yogurt based",11440070,FNDDS
100068,2340830,"Yogurt parfait, with fruit",11446000,FNDDS
100069,2340831,"Frozen yogurt, NFS",11459990,FNDDS
100070,2340832,"Frozen yogurt, vanilla",11460000,FNDDS
100071,2340833,"Frozen yogurt, chocolate",11460100,FNDDS
100072,2340834,"Frozen yogurt, soft serve, vanilla",11460500,FNDDS
100073,2340835,"Frozen yogurt, soft serve, chocolate",11460510,FNDDS
100074,2340836,Frozen yogurt sandwich,11461200,FNDDS
100075,2340837,"Frozen yogurt bar, vanilla",11461210,FNDDS
100076,2340838,"Frozen yogurt bar, chocolate",11461220,FNDDS
100077,2340839,"Frozen yogurt cone, chocolate",11461250,FNDDS
100078,2340840,"Frozen yogurt cone, vanilla",11461260,FNDDS
100079,2340841,"Frozen yogurt cone, vanilla, waffle cone",11461300,FNDDS
100080,2340842,"Frozen yogurt cone, chocolate, waffle cone",11461320,FNDDS
100081,2340843,"Baby Toddler food, NFS",11480000,FNDDS
100082,2340844,"Baby Toddler yogurt, plain",11480010,FNDDS
100083,2340845,"Baby Toddler yogurt, with fruit",11480100,FNDDS
100084,2340846,"Chocolate milk, NFS",11511000,FNDDS
100085,2340847,"Chocolate milk, whole",11511100,FNDDS
100086,2340848,"Chocolate milk, reduced fat (2%)",11511200,FNDDS
100087,2340849,"Chocolate milk, fat free (skim)",11511300,FNDDS
100088,2340850,"Chocolate milk, low fat (1%)",11511400,FNDDS
100089,2340851,"Chocolate milk, reduced sugar, NFS",11511550,FNDDS
100090,NA,"Hot chocolate / cocoa, NFS",11512005,FNDDS
100091,2340854,"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk",11512010,FNDDS
100092,2340855,"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk",11512020,FNDDS
100093,2340856,"Hot chocolate / cocoa, made with non-dairy milk",11512030,FNDDS
100094,2340857,"Hot chocolate / cocoa, with whipped cream",11512100,FNDDS
