thalos_id,calories,protein,fat,carbs
106609,304,24.53,22.09,0
106610,359,22.28,29.21,0
106611,246,19.56,18,0
106612,278,27.17,18,0
106613,194,27.7,9.29,0
106614,146,20.16,7.25,0
106615,195,20.56,11.92,0
106616,235,27.54,12.98,0
106617,218,26.41,11.64,0
106618,198,20.71,12.15,0
106619,254,32.85,12.56,0
106620,223,26.05,12.44,0
106621,187,20.68,10.93,0
106622,173,21.68,8.91,0
106623,212,28.48,10.05,0
106624,160,21.3,7.57,0.08
106625,204,28.13,9.26,0
106626,178,19.74,10.39,0
106627,210,27.63,10.24,0
106628,152,20.07,7.94,0
106629,228,33.93,8.33,2.03
106630,250,34.09,11.61,0
106631,224,30.7,10.27,0
106632,266,32.99,13.83,0
106633,164,22.18,7.68,0
106634,225,34.6,8.54,0
106635,165,20.32,9.29,0
106636,218,20.36,14.58,0
106637,284,24.85,19.78,0
106638,228,20,15.83,0
106639,278,26.16,18.45,0
106640,224,20.59,15.04,0
106641,250,26.72,15.11,0
106642,281,19,22.17,0
106643,273,26.43,17.78,0
106644,331,23.9,25.39,0
106645,249,19.37,18.46,0
106646,262,26.48,16.53,0
106647,201,20.3,12.71,0
106648,243,26.96,14.23,0
106649,214,19.92,14.28,0
106650,257,26.8,15.75,0
106651,172,28.09,5.82,0
106652,178,28.54,6.25,0
106653,169,28.71,5.17,0
106654,192,27.66,8.23,0
106655,165,20.64,8.55,0
106656,221,25.66,12.36,0
106657,174,20.64,9.51,0
106658,201,26.44,9.78,0
106659,217,26.11,11.65,0
106660,184,26.16,8,0
106661,170,30.12,4.62,0
106662,162,29.7,3.85,0
106663,133,20.52,5.71,0
106664,169,20.15,9.86,0
106665,205,26.66,10.06,0
106666,233,24.18,14.37,0
106667,43,0.46,0,3.55
106668,41,0.36,0,2.97
106669,28,0.2,0,0.87
106670,29,0.24,0,1.64
106671,237,0.6,7.6,27.6
106672,38,0.42,1.04,6.59
106673,174,0.42,1.88,22.66
